Hawkishness Date,Hawkishness
2022-05-19,0.2190201729106628
2022-04-07,0.1018957345971564
2022-01-20,-0.0371428571428571
2022-11-24,0.2067183462532299
2022-08-25,0.1648936170212765
2022-10-06,0.2666666666666666
2022-03-03,0.1629213483146067
2022-07-07,0.2675736961451247
2024-05-10,-0.138801261829653
2024-08-22,-0.092526690391459
2024-10-10,-0.2049180327868852
2024-07-04,0.0285714285714285
2024-04-04,-0.1839762611275964
2024-02-22,-0.2424242424242424
2024-01-18,-0.1699164345403899
2023-10-12,-0.0337662337662337
2023-01-19,0.1346153846153846
2023-11-23,-0.039787798408488
2023-07-13,0.1048387096774193
2023-08-31,0.0184696569920844
2023-06-01,0.2506738544474393
2023-04-20,0.0794117647058823
2023-03-02,-0.0452261306532663
2015-04-02,-0.1555555555555555
2015-11-19,-0.3184079601990049
2015-07-02,-0.0467289719626168
2015-02-19,-0.3258785942492013
2015-10-08,-0.3360323886639676
2015-05-21,-0.1559633027522936
2015-08-13,-0.1341463414634146
2017-10-05,-0.0861244019138756
2017-04-06,-0.0542986425339366
2017-11-23,-0.0522088353413654
2017-05-18,-0.1746987951807229
2017-02-16,-0.1693989071038251
2017-01-12,-0.1330275229357798
2017-07-06,-0.0995670995670995
2017-08-17,-0.131578947368421
2019-10-10,-0.4
2019-04-04,-0.3523316062176165
2019-05-23,-0.3636363636363636
2019-07-11,-0.3081395348837209
2019-01-10,-0.2125603864734299
2019-02-21,-0.3055555555555556
2019-08-22,-0.3539325842696629
2019-11-21,-0.3705882352941176
2021-02-18,-0.2456140350877192
2021-10-07,-0.0727969348659003
2021-11-25,0.165016501650165
2021-01-14,-0.4688644688644688
2021-07-09,-0.0981132075471698
2021-07-29,-0.0136986301369863
2021-05-14,-0.2261306532663316
2021-04-08,-0.1340996168582375
2021-08-26,-0.1191222570532915
2020-11-26,-0.4835680751173709
2020-01-16,-0.2236286919831223
2020-02-20,-0.171945701357466
2020-06-25,-0.4419354838709677
2020-04-09,-0.4375
2020-05-22,-0.3969849246231156
2020-10-08,-0.3
2020-08-20,-0.3394495412844037
2018-10-11,-0.0306748466257668
2018-02-22,0.1075268817204301
2018-05-24,-0.1186440677966101
2018-04-12,0.0552486187845303
2018-01-11,-0.0697674418604651
2018-08-23,-0.171875
2018-07-12,0.0259067357512953
2018-11-22,0.0465116279069767
2016-10-06,-0.2403846153846154
2016-04-07,-0.3900709219858156
2016-05-19,-0.2666666666666666
2016-01-14,-0.3932584269662921
2016-07-07,-0.251207729468599
2016-11-17,-0.1597633136094674
2016-02-18,-0.3303571428571428
2016-08-18,-0.2127659574468085
